well,easting,northing,dist_coast_m
ceh22,241375.022,362906.94,146.7
ceh3,240743.0,363388.0,176.0
ceh35,241081.0,363212.0,189.6
ceh4,241131.693,363211.05,220.7
ceh21,241470.51,362937.659,232.0
ceh38,241130.0,363261.0,258.4
ceh18,241267.167,363202.889,302.0
ceh36,241161.0,363306.0,312.9
p1,241243.0,363283.0,347.6
ceh19,240845.741,363532.891,350.8
ceh17,240804.597413,363576.069469,371.9
nw9,240937.259,363567.162,419.4
WMC2,241885.149,362855.856,457.5
nw5,241711.757,363023.697,459.7
ceh31,241075.0,363538.0,460.2
ceh15,240679.892,363754.368,481.5
ceh16,240988.214,363614.897,484.9
FE4,241116.1,363562.3,501.1
nw6,241444.307,363316.599,502.5
nw8,241276.11,363480.129,520.9
Nw8b,241272.0,363487.0,523.8
ceh42,242120.528,362743.198,525.5
FE2,241135.0,363595.0,538.9
wmc3,241217.327,363562.323,552.8
ceh33,240936.0,363808.0,638.2
ceh30,241072.0,363760.0,652.3
FE3,241234.0,363691.7,671.5
nw7,241423.695,363584.862,694.8
ceh20,241153.0,363829.0,752.0
ceh39,241719.0,363435.0,770.8
FE1,241338.0,363744.0,770.9
D45,242898.911,362614.9,776.0
ceh11,242618.62,362688.287,782.7
ceh9,241711.211,363459.012,784.8
LIS1,241406.0,363720.0,790.4
ceh13,240964.108,364066.298,879.0
pw,242056.0,363286.0,888.0
ceh34,241334.0,363887.0,890.6
D25,242215.187,363143.807,893.7
Ceh32,241167.0,364003.0,911.9
pe,242739.0,362823.0,956.8
ceh40,242060.283,363398.508,971.5
ceh2,241421.0,363979.0,1014.0
ceh41,242284.022,363324.592,1071.4
D39,243000.256,362899.535,1073.8
ceh 1,241595.864,363948.335,1086.9
D34,242961.925,362945.353,1112.3
ceh10,242538.185,363173.915,1122.7
ceh12,240339.0,364588.0,1138.5
D38,242711.571,363069.196,1153.4
nw2,241703.008,364112.082,1282.2
D15,241980.565,363895.719,1290.6
T41a,242709.928,363275.666,1309.2
nw1,241725.0,364139.0,1316.9
nw10,241435.0,364325.025,1322.6
D17,242446.951,363534.961,1336.1
T41b,242715.085,363309.565,1338.7
T41c,242721.13,363323.682,1353.5
D5,242083.407,363901.712,1362.9
nw13,241761.0,364180.0,1371.3
wmc4,241761.0,364180.0,1371.3
nw11,241689.0,364237.0,1375.8
T41d,242731.987,363353.284,1383.4
D44,242819.407,363279.547,1384.3
nw3,242091.94,363939.361,1396.9
D41,242771.66,363342.853,1400.4
D43,242664.714,363428.693,1400.6
D33,243166.881,363196.273,1401.2
ceh14,241292.0,364488.0,1404.7
nw12,241262.0,364524.0,1422.5
nw 4b,242414.677,363751.66,1471.7
D6,242114.898,364021.851,1473.9
nw4,242431.164,363744.512,1478.0
ceh37,242886.0,363346.0,1478.0
D31,243282.429,363259.347,1495.3
ceh24,242938.911,363392.114,1547.4
ceh8,243149.932,363382.305,1577.3
WMC1,242765.629,363643.556,1630.5
ceh27,242005.373,364330.297,1640.1
ceh28,242331.051,364122.039,1690.3
D29,243600.797,363438.979,1765.6
ceh26,242172.261,364362.239,1771.7
T29,243586.282,363466.962,1786.6
D9,242710.726,363910.68,1791.9
D8,242676.867,364024.231,1849.9
ceh7,243385.803,363612.9,1863.4
D10,242613.907,364118.797,1874.4
ceh23,242325.311,364428.124,1920.6
D7,242610.75,364204.554,1935.9
p2,242303.0,364558.0,2005.6
ceh5,242521.077,364465.817,2075.5
ceh25,242512.557,364638.544,2202.0
L1,242804.097,364389.095,2202.3
L7,242812.0,364395.0,2211.9
L4,242897.825,364328.678,2222.3
ceh6,242621.679,364724.912,2338.0
pdfs,249651.0,363372.0,6871.5
