Well,Shift,Delta_m,Control
CEH36,Pure_Scraping,0.13585195887746598,CEH4
CEH36,Felling_Pulse,0.018708357685564003,CEH4
CEH4,Pure_Scraping,-0.02997092500829618,Regional Mean
CEH4,Felling_Pulse,-0.08988842742988273,Regional Mean
CEH18,Felling_Pulse,0.02302438028323875,CEH4
CEH18,After_Scraping,0.01882036613272306,CEH4
CEH21,Coastal_Drawdown,0.0402042955498369,CEH22
CEH21,After_Scraping,0.048237848720161125,CEH22
CEH22,Coastal_Drawdown,-0.17159240663376524,Regional Mean
CEH22,After_Scraping,-0.07800643822181658,Regional Mean
